设备类型,回路号,坐标,设备数量,数量文本坐标,匹配距离
第三方电表,2TB1-02,"(3014.6, -328.46, 0)",7,"(3025.46, -330.08, 0)",10.980163933202581
第三方电表,2TB1-01,"(3014.6, -313.46, 0)",6,"(3025.46, -315.08, 0)",10.980163933202581
第三方电表,进线柜,"(3014.6, -298.46, 0)",1,,0.0
第三方电表,2TA1-08,"(2964.6, -328.46, 0)",8,"(2975.46, -330.08, 0)",10.980163933202581
第三方电表,2TA1-05,"(2964.6, -298.46, 0)",6,"(2975.46, -300.08, 0)",10.980163933202581
第三方电表,2TA1-04,"(2914.6, -373.46, 0)",7,"(2925.46, -375.08, 0)",10.980163933202581
第三方电表,2TA1-03,"(2914.6, -358.46, 0)",9,"(2925.46, -360.08, 0)",10.980163933202581
第三方电表,2TA1-02,"(2914.6, -343.46, 0)",8,"(2925.46, -345.08, 0)",10.980163933202581
第三方电表,2TA1-01,"(2914.6, -328.46, 0)",5,"(2925.46, -330.08, 0)",10.980163933202581
第三方电表,2TA1-00,"(2914.6, -313.46, 0)",1,,0.0
第三方电表,进线柜,"(2914.6, -298.46, 0)",1,,0.0
第三方电表,1TB1-10,"(2540.72, -361.46, 0)",7,"(2551.58, -363.08, 0)",10.980163933202581
第三方电表,1TB1-07,"(2540.72, -346.46, 0)",8,"(2551.58, -348.08, 0)",10.980163933202581
第三方电表,1TB1-06,"(2540.72, -331.46, 0)",8,"(2551.58, -333.08, 0)",10.980163933202581
第三方电表,1TB1-05,"(2540.72, -316.46, 0)",7,"(2551.58, -318.08, 0)",10.980163933202581
第三方电表,1TB1-04,"(2540.72, -301.46, 0)",1,,0.0
第三方电表,1TB1-03,"(2490.72, -346.46, 0)",8,"(2501.58, -348.08, 0)",10.980163933202581
第三方电表,1TB1-02,"(2490.72, -331.46, 0)",8,"(2501.58, -333.08, 0)",10.980163933202581
第三方电表,1TB1-01,"(2490.72, -316.46, 0)",8,"(2501.58, -318.08, 0)",10.980163933202581
第三方电表,进线柜,"(2490.72, -301.46, 0)",1,,0.0
第三方电表,1TA1-10,"(2440.72, -361.46, 0)",8,"(2451.58, -363.08, 0)",10.980163933202581
第三方电表,1TA1-09,"(2440.72, -346.46, 0)",1,,0.0
第三方电表,1TA1-07,"(2440.72, -331.46, 0)",9,"(2451.58, -333.08, 0)",10.980163933202581
第三方电表,1TA1-06,"(2440.72, -316.46, 0)",1,,0.0
第三方电表,1TA1-05,"(2440.72, -301.46, 0)",7,"(2451.58, -303.08, 0)",10.980163933202581
第三方电表,1TA1-04,"(2390.72, -376.46, 0)",7,"(2401.58, -378.08, 0)",10.980163933202581
第三方电表,1TA1-03,"(2390.72, -361.46, 0)",9,"(2401.58, -363.08, 0)",10.980163933202581
第三方电表,1TA1-02,"(2390.72, -346.46, 0)",7,"(2401.58, -348.08, 0)",10.980163933202581
第三方电表,1TA1-01,"(2390.72, -331.46, 0)",7,"(2401.58, -333.08, 0)",10.980163933202581
第三方电表,1TA1-00,"(2390.72, -316.46, 0)",1,,0.0
第三方电表,进线柜,"(2390.72, -301.46, 0)",1,,0.0
